side,symbol,q,price
buy,COMP5692-USD,0.13228905934598303,37.7960205078125,5.0
buy,LPT-USD,0.6651163422051795,7.517481803894043,5.0
buy,RNDR-USD,10.146831108089001,0.4927646815776825,5.0
buy,SNX-USD,2.861625335870357,1.7472587823867798,5.0
buy,AVAX-USD,0.36737673205486854,13.610007286071777,5.0
buy,AAVE-USD,0.0780531865961374,64.05888366699219,5.0
sell,BTC-USD,0.0007086323044142,16907.216796875,11.981
sell,BNB-USD,0.07005934878679178,290.76776123046875,20.371000000000002
sell,ETH-USD,0.00674859523452814,1243.369873046875,8.391
sell,XRP-USD,15.43203504992305,0.38821840286254883,5.9910000000000005
sell,LINK-USD,1.1564919568312813,7.255562782287598,8.391
sell,COMP5692-USD,0.1615097215089169,37.09374237060547,5.9910000000000005
